species_name,genome_file_name,cds_file_name
ceraceosorus_guamensis,ceraceosorus_guamensis_genomic.fna,ceraceosorus_guamensis_cds.fna
meira_miltonrushii,meira_miltonrushii_genomic.fna,meira_miltonrushii_cds.fna
jaminaea_rosea,jaminaea_rosea_genomic.fna,jaminaea_rosea_cds.fna
fusarium_venenatum,fusarium_venenatum_genomic.fna,fusarium_venenatum_cds.fna
trichoderma_citrinoviride,trichoderma_citrinoviride_genomic.fna,trichoderma_citrinoviride_cds.fna
pyricularia_pennisetigena,pyricularia_pennisetigena_genomic.fna,pyricularia_pennisetigena_cds.fna
candida_pseudohaemulonii,candida_pseudohaemulonii_genomic.fna,candida_pseudohaemulonii_cds.fna
aspergillus_candidus,aspergillus_candidus_genomic.fna,aspergillus_candidus_cds.fna
ophidiomyces_ophidiicola,ophidiomyces_ophidiicola_genomic.fna,ophidiomyces_ophidiicola_cds.fna
diplodia_corticola,diplodia_corticola_genomic.fna,diplodia_corticola_cds.fna
colletotrichum_orchidophilum,colletotrichum_orchidophilum_genomic.fna,colletotrichum_orchidophilum_cds.fna
penicillium_arizonense,penicillium_arizonense_genomic.fna,penicillium_arizonense_cds.fna
pseudogymnoascus_verrucosus,pseudogymnoascus_verrucosus_genomic.fna,pseudogymnoascus_verrucosus_cds.fna
fusarium_poae,fusarium_poae_genomic.fna,fusarium_poae_cds.fna
dacryopinax_primogenitus,dacryopinax_primogenitus_genomic.fna,dacryopinax_primogenitus_cds.fna
fonsecaea_erecta,fonsecaea_erecta_genomic.fna,fonsecaea_erecta_cds.fna
fonsecaea_nubica,fonsecaea_nubica_genomic.fna,fonsecaea_nubica_cds.fna
paraphaeosphaeria_sporulosa,paraphaeosphaeria_sporulosa_genomic.fna,paraphaeosphaeria_sporulosa_cds.fna
sugiyamaella_lignohabitans,sugiyamaella_lignohabitans_genomic.fna,sugiyamaella_lignohabitans_cds.fna
drechmeria_coniospora,drechmeria_coniospora_genomic.fna,drechmeria_coniospora_cds.fna
aspergillus_chevalieri,aspergillus_chevalieri_genomic.fna,aspergillus_chevalieri_cds.fna
verticillium_nonalfalfae,verticillium_nonalfalfae_genomic.fna,verticillium_nonalfalfae_cds.fna
colletotrichum_lupini,colletotrichum_lupini_genomic.fna,colletotrichum_lupini_cds.fna
mollisia_scopiformis,mollisia_scopiformis_genomic.fna,mollisia_scopiformis_cds.fna
trichoderma_gamsii,trichoderma_gamsii_genomic.fna,trichoderma_gamsii_cds.fna
purpureocillium_lilacinum,purpureocillium_lilacinum_genomic.fna,purpureocillium_lilacinum_cds.fna
aspergillus_lentulus,aspergillus_lentulus_genomic.fna,aspergillus_lentulus_cds.fna
malassezia_pachydermatis,malassezia_pachydermatis_genomic.fna,malassezia_pachydermatis_cds.fna
torulaspora_globosa,torulaspora_globosa_genomic.fna,torulaspora_globosa_cds.fna
candida_auris,candida_auris_genomic.fna,candida_auris_cds.fna
cutaneotrichosporon_oleaginosum,cutaneotrichosporon_oleaginosum_genomic.fna,cutaneotrichosporon_oleaginosum_cds.fna
lachancea_lanzarotensis,lachancea_lanzarotensis_genomic.fna,lachancea_lanzarotensis_cds.fna
exophiala_oligosperma,exophiala_oligosperma_genomic.fna,exophiala_oligosperma_cds.fna
verruconis_gallopava,verruconis_gallopava_genomic.fna,verruconis_gallopava_cds.fna
exophiala_spinifera,exophiala_spinifera_genomic.fna,exophiala_spinifera_cds.fna
exophiala_xenobiotica,exophiala_xenobiotica_genomic.fna,exophiala_xenobiotica_cds.fna
cladophialophora_immunda,cladophialophora_immunda_genomic.fna,cladophialophora_immunda_cds.fna
exophiala_mesophila,exophiala_mesophila_genomic.fna,exophiala_mesophila_cds.fna
scedosporium_apiospermum,scedosporium_apiospermum_genomic.fna,scedosporium_apiospermum_cds.fna
ustilaginoidea_virens,ustilaginoidea_virens_genomic.fna,ustilaginoidea_virens_cds.fna
candida_oxycetoniae,candida_oxycetoniae_genomic.fna,candida_oxycetoniae_cds.fna
ogataea_philodendri,ogataea_philodendri_genomic.fna,ogataea_philodendri_cds.fna
candida_theae,candida_theae_genomic.fna,candida_theae_cds.fna
candida_pseudojiufengensis,candida_pseudojiufengensis_genomic.fna,candida_pseudojiufengensis_cds.fna
hirsutella_rhossiliensis,hirsutella_rhossiliensis_genomic.fna,hirsutella_rhossiliensis_cds.fna
fibroporia_radiculosa,fibroporia_radiculosa_genomic.fna,fibroporia_radiculosa_cds.fna
torulaspora_delbrueckii,torulaspora_delbrueckii_genomic.fna,torulaspora_delbrueckii_cds.fna
penicillium_solitum,penicillium_solitum_genomic.fna,penicillium_solitum_cds.fna
cercospora_beticola,cercospora_beticola_genomic.fna,cercospora_beticola_cds.fna
alternaria_alternata,alternaria_alternata_genomic.fna,alternaria_alternata_cds.fna
saccharomycodes_ludwigii,saccharomycodes_ludwigii_genomic.fna,saccharomycodes_ludwigii_cds.fna
candida_jiufengensis,candida_jiufengensis_genomic.fna,candida_jiufengensis_cds.fna
candida_subhashii,candida_subhashii_genomic.fna,candida_subhashii_cds.fna
zygosaccharomyces_rouxii,zygosaccharomyces_rouxii_genomic.fna,zygosaccharomyces_rouxii_cds.fna
kluyveromyces_lactis,kluyveromyces_lactis_genomic.fna,kluyveromyces_lactis_cds.fna
schizosaccharomyces_pombe,schizosaccharomyces_pombe_genomic.fna,schizosaccharomyces_pombe_cds.fna
